horizon,intent,n,win_rate,avg_return
1w,AVOID,156,0.532051282051282,0.037749705388414434
1w,NEUTRAL,56,0.5,0.012189795012952883
1w,ENTER_NOW,33,0.5757575757575758,0.12540506074019736
1w,ENTER_LIMIT,27,0.5555555555555556,0.018195886452355814
2w,AVOID,115,0.5043478260869565,0.06204078939544911
2w,NEUTRAL,36,0.6944444444444444,0.12410206447673737
2w,ENTER_NOW,17,0.7647058823529411,0.23045568485316556
2w,ENTER_LIMIT,16,0.5,0.03463363896847685
4w,AVOID,18,0.6111111111111112,0.27451806127768924
4w,NEUTRAL,9,0.6666666666666666,0.4659082423427303
4w,ENTER_NOW,8,1.0,0.22079469957049563
4w,ENTER_LIMIT,4,1.0,0.3701339547043051
