id,symbol,price_at_decision,drop_percent,recommendation,status,timestamp,company_name,pe_ratio,market_cap,sector,region,is_earnings_drop,earnings_date,ai_score,deep_research_verdict,deep_research_risk,deep_research_catalyst,deep_research_knife_catch,deep_research_score,git_version,entry_price_low,entry_price_high,stop_loss,take_profit_1,take_profit_2,pre_drop_price,upside_percent,downside_risk_percent,risk_reward_ratio,drop_type,conviction,entry_trigger,reassess_in_days,sell_price_low,sell_price_high,ceiling_exit,exit_trigger,deep_research_review_verdict,deep_research_action,deep_research_conviction,deep_research_entry_low,deep_research_entry_high,deep_research_stop_loss,deep_research_tp1,deep_research_tp2,deep_research_upside,deep_research_downside,deep_research_rr_ratio,deep_research_drop_type,deep_research_entry_trigger,deep_research_sell_price_low,deep_research_sell_price_high,deep_research_ceiling_exit,deep_research_exit_trigger,reassess_sell_action,reassess_thesis_status,reassess_sell_price_low,reassess_sell_price_high,reassess_ceiling_exit,reassess_updated_stop_loss,reassess_exit_trigger,reassess_timestamp,reassess_reasoning,data_depth,batch_winner,batch_id,gatekeeper_tier,reported_eps,consensus_eps,surprise_pct,earnings_fiscal_quarter,earnings_narrative_flag,decision_date,intent,return_1w,return_2w,return_4w,return_8w,max_roi_4w,max_roi_8w,max_drawdown_4w,recovered,days_to_recover,post_recover_5d,post_recover_10d,post_recover_20d,limit_filled,limit_cost_basis,return_filled_1w,return_filled_2w,return_filled_4w
1,APA,38.75,-9.79981378026071,PENDING,Pending,2026-04-09 00:48:33,APA Corporation,9.730802069207975,13688493970.728584,,America,0,,,BUY,Low,Temporary,False,80.0,v0.8.2-5-g9a7f04b,100.0,110.0,90.0,120.0,130.0,,20.0,10.0,2.0,UNKNOWN,HIGH,None,30.0,115.0,125.0,135.0,None,CONFIRMED,BUY,HIGH,100.0,110.0,90.0,120.0,130.0,20.0,10.0,2.0,UNKNOWN,None,115.0,125.0,135.0,None,,,,,,,,,,,0,,,,,,,,2026-04-09,NEUTRAL,-0.02193544449344758,-0.0023225845829133065,-0.06477415023311492,,0.0861935523248488,0.0861935523248488,-0.13729031470514114,False,,,,,,,,,
2,APA,38.75,-9.79981378026071,WATCH,Not Owned,2026-04-09 00:49:55,APA Corporation,9.730802069207975,13688493970.728584,,America,0,,50.0,,,,,,v0.8.2-5-g9a7f04b,32.3,33.2,30.0,41.3,42.96,42.96,6.58,22.58,0.3,MACRO_SELLOFF,LOW,RSI drops below 30 and price tests the SMA50 ($32.94) / BB Lower ($32.29) structural support zone.,5.0,39.39,41.3,43.0,N/A — no position recommended at current levels.,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""news"": {""total_count"": 30, ""total_length_chars"": 23812, ""providers"": {""Finnhub"": 16, ""Yahoo Finance"": 1, ""Market News (Benzinga)"": 5, ""Alpha Vantage"": 4, ""Benzinga/Massive"": 4}, ""time_range"": {""newest"": ""2026-04-08"", ""oldest"": ""2026-02-05""}}, ""fundamentals"": {""transcript_available"": true, ""transcript_date"": ""2026-02-26"", ""transcript_length"": 49160}, ""agents"": {""technical_length"": 4459, ""news_length"": 5631, ""market_sentiment_length"": 3340, ""economics_length"": 5379, ""competitive_length"": 5173, ""seeking_alpha_length"": 64874, ""bull_length"": 5945, ""bear_length"": 6585, ""risk_length"": 6273}, ""metadata"": {""analyzed_at"": ""2026-04-08T18:51:55.043517"", ""stock_ticker"": ""UNKNOWN""}}",0,,,,,,,,2026-04-09,NEUTRAL,-0.02193544449344758,-0.0023225845829133065,-0.06477415023311492,,0.0861935523248488,0.0861935523248488,-0.13729031470514114,False,,,,,,,,,
3,BKRKF,0.18,-10.000000000000009,AVOID,Not Owned,2026-04-09 00:52:22,Bank Rakyat,7.9755586347119705,27201192187.679993,,America,0,,50.0,,,,,,v0.8.2-5-g9a7f04b,0.176,0.18,0.156,0.2,,0.2,11.1,13.3,0.8,MACRO_SELLOFF,HIGH,N/A — no position recommended.,7.0,0.2,0.23,0.24,N/A — no position recommended.,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""news"": {""total_count"": 6, ""total_length_chars"": 9730, ""providers"": {""Market News (Benzinga)"": 5, ""Yahoo Finance"": 1}, ""time_range"": {""newest"": ""2026-04-08"", ""oldest"": ""2025-12-11""}}, ""fundamentals"": {""transcript_available"": false, ""transcript_date"": null, ""transcript_length"": 0}, ""agents"": {""technical_length"": 3601, ""news_length"": 4256, ""market_sentiment_length"": 2975, ""economics_length"": 5566, ""competitive_length"": 5671, ""seeking_alpha_length"": 18309, ""bull_length"": 5426, ""bear_length"": 5213, ""risk_length"": 5507}, ""metadata"": {""analyzed_at"": ""2026-04-08T18:54:18.538585"", ""stock_ticker"": ""UNKNOWN""}}",0,,,,,,,,2026-04-09,AVOID,-0.05555554562144806,0.055555542310078976,3.973642988726785e-08,,0.27777780095736193,0.27777780095736193,-0.111111130979326,True,8.0,-0.052631529414422,-0.052631529414422,,,,,,
4,CHRD,134.93,-7.188058880176082,WATCH,Not Owned,2026-04-09 00:54:53,Chord Energy Corporation,212.42128463476072,7669763250.0559225,,America,0,,50.0,,,,,,v0.8.2-5-g9a7f04b,119.78,128.09,115.0,141.0,145.38,145.38,4.5,14.77,0.3,MACRO_SELLOFF,MODERATE,RSI approaches 30 and price stabilizes in the $120-$128 zone (SMA30 to BB Lower).,5.0,135.14,141.0,145.38,Price reaches $140-$141 resistance zone (SMA5/SMA10) on declining volume.,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""news"": {""total_count"": 23, ""total_length_chars"": 14920, ""providers"": {""Yahoo Finance"": 1, ""Finnhub"": 13, ""Market News (Benzinga)"": 5, ""Alpha Vantage"": 4}, ""time_range"": {""newest"": ""2026-04-08"", ""oldest"": ""2026-04-01""}}, ""fundamentals"": {""transcript_available"": true, ""transcript_date"": ""2026-02-26"", ""transcript_length"": 33658}, ""agents"": {""technical_length"": 4830, ""news_length"": 5216, ""market_sentiment_length"": 2539, ""economics_length"": 5222, ""competitive_length"": 4933, ""seeking_alpha_length"": 114147, ""bull_length"": 5538, ""bear_length"": 5573, ""risk_length"": 5156}, ""metadata"": {""analyzed_at"": ""2026-04-08T18:57:33.885542"", ""stock_ticker"": ""UNKNOWN""}}",0,,,,,,,,2026-04-09,NEUTRAL,-0.0069665345500329375,0.016527115260574876,0.020899725783739664,,0.1153931668272437,0.1153931668272437,-0.11124288024201211,True,14.0,-0.03613467667489547,,,,,,,
5,EQNR,39.33,-6.512954599477067,AVOID,Not Owned,2026-04-09 00:58:03,Equinor ASA,20.589467071510835,108328208065.58066,,America,0,,50.0,,,,,,v0.8.2-5-g9a7f04b,33.05,33.97,29.37,42.07,,42.07,6.97,25.32,0.3,MACRO_SELLOFF,HIGH,N/A — Do not enter. Wait for RSI to reach true oversold levels (<30) and price to test the $33-$34 support confluence.,5.0,39.33,42.0,43.45,N/A — no position recommended.,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""news"": {""total_count"": 30, ""total_length_chars"": 31043, ""providers"": {""Yahoo Finance"": 8, ""Market News (Benzinga)"": 5, ""Finnhub"": 3, ""Alpha Vantage"": 4, ""Benzinga/Massive"": 10}, ""time_range"": {""newest"": ""2026-04-08"", ""oldest"": ""2026-03-10""}}, ""fundamentals"": {""transcript_available"": true, ""transcript_date"": ""2026-02-04"", ""transcript_length"": 63046}, ""agents"": {""technical_length"": 4819, ""news_length"": 5149, ""market_sentiment_length"": 2641, ""economics_length"": 4634, ""competitive_length"": 5040, ""seeking_alpha_length"": 48193, ""bull_length"": 5821, ""bear_length"": 5806, ""risk_length"": 6091}, ""metadata"": {""analyzed_at"": ""2026-04-08T19:00:33.761291"", ""stock_ticker"": ""UNKNOWN""}}",0,,,,,,,,2026-04-09,AVOID,-0.026951424923374687,-0.01830662063687861,-0.06153064206935899,,0.06025936341061416,0.06025936341061416,-0.12433260547396426,False,,,,,,,,,
6,GIFLF,10.57,-18.06201550387597,AVOID,Not Owned,2026-04-09 01:01:12,Grifols Sa,15.22500027551201,6534880364.681698,,America,0,,50.0,,,,,,v0.8.2-5-g9a7f04b,10.29,10.57,7.99,12.9,13.96,12.9,22.0,24.4,0.9,COMPANY_SPECIFIC,HIGH,N/A — no position recommended.,7.0,10.65,13.96,15.11,N/A — no position recommended.,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""news"": {""total_count"": 10, ""total_length_chars"": 10851, ""providers"": {""Market News (Benzinga)"": 5, ""Yahoo Finance"": 5}, ""time_range"": {""newest"": ""2026-04-08"", ""oldest"": ""2026-03-14""}}, ""fundamentals"": {""transcript_available"": true, ""transcript_date"": ""2025-11-05"", ""transcript_length"": 55982}, ""agents"": {""technical_length"": 4509, ""news_length"": 5384, ""market_sentiment_length"": 3329, ""economics_length"": 5455, ""competitive_length"": 6207, ""seeking_alpha_length"": 63724, ""bull_length"": 5764, ""bear_length"": 5714, ""risk_length"": 5381}, ""metadata"": {""analyzed_at"": ""2026-04-08T19:03:36.293474"", ""stock_ticker"": ""UNKNOWN""}}",0,,,,,,,,2026-04-09,AVOID,-2.8871880939850245e-08,-2.8871880939850245e-08,-2.8871880939850245e-08,,-2.8871880939850245e-08,-2.8871880939850245e-08,-2.8871880939850245e-08,False,,,,,,,,,
7,LYB,74.22,-7.525541988537261,AVOID,Not Owned,2026-04-09 01:04:06,LyondellBasell Industries NV,,23911456768.39945,,America,0,,50.0,,,,,,v0.8.2-5-g9a7f04b,64.5,68.05,67.0,80.0,,80.26,7.8,9.7,0.8,MACRO_SELLOFF,HIGH,N/A — no position recommended. Wait for a full mean reversion to the SMA50 ($64.50) before reconsidering.,5.0,77.0,80.0,82.5,N/A — no position recommended.,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""news"": {""total_count"": 30, ""total_length_chars"": 37071, ""providers"": {""Benzinga/Massive"": 10, ""Finnhub"": 14, ""Market News (Benzinga)"": 5, ""Yahoo Finance"": 1}, ""time_range"": {""newest"": ""2026-04-08"", ""oldest"": ""2026-03-13""}}, ""fundamentals"": {""transcript_available"": true, ""transcript_date"": ""2026-01-30"", ""transcript_length"": 51672}, ""agents"": {""technical_length"": 4364, ""news_length"": 5487, ""market_sentiment_length"": 3184, ""economics_length"": 5386, ""competitive_length"": 5149, ""seeking_alpha_length"": 50628, ""bull_length"": 5557, ""bear_length"": 5029, ""risk_length"": 5217}, ""metadata"": {""analyzed_at"": ""2026-04-08T19:06:22.204720"", ""stock_ticker"": ""UNKNOWN""}}",0,,,,,,,,2026-04-09,AVOID,0.0144166116346988,-0.04715708406489995,-0.03651304047116047,,0.056723259299053926,0.056723259299053926,-0.11398541988371773,False,,,,,,,,,
8,MGY,29.86,-6.482931412464768,AVOID,Not Owned,2026-04-09 01:07:01,Magnolia Oil & Gas Corporation,17.305128948130974,5566080071.131225,,America,0,,50.0,,,,,,v0.8.2-5-g9a7f04b,28.47,28.75,27.5,31.93,,31.93,6.9,7.9,0.9,MACRO_SELLOFF,HIGH,N/A — Risk/reward is unfavorable due to unhedged exposure in a falling oil market.,7.0,31.5,32.0,32.36,N/A — no position recommended.,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""news"": {""total_count"": 19, ""total_length_chars"": 12873, ""providers"": {""Market News (Benzinga)"": 5, ""Finnhub"": 4, ""Yahoo Finance"": 9, ""Alpha Vantage"": 1}, ""time_range"": {""newest"": ""2026-04-08"", ""oldest"": ""2026-03-27""}}, ""fundamentals"": {""transcript_available"": true, ""transcript_date"": ""2026-02-06"", ""transcript_length"": 46874}, ""agents"": {""technical_length"": 3764, ""news_length"": 5233, ""market_sentiment_length"": 2352, ""economics_length"": 5007, ""competitive_length"": 4668, ""seeking_alpha_length"": 77450, ""bull_length"": 5615, ""bear_length"": 5000, ""risk_length"": 4785}, ""metadata"": {""analyzed_at"": ""2026-04-08T19:09:41.936643"", ""stock_ticker"": ""UNKNOWN""}}",0,,,,,,,,2026-04-09,AVOID,-0.04420626538756382,-0.008037480266798427,-0.057267259928657936,,0.04655056932350973,0.04655056932350973,-0.11503686413059118,False,,,,,,,,,
9,MTDR,60.34,-6.4351062180182845,WATCH,Not Owned,2026-04-09 01:10:19,Matador Resources Company,9.909022235359805,7497241068.403164,,America,0,,50.0,,,,,,v0.8.2-5-g9a7f04b,54.0,55.0,52.0,64.5,66.62,64.49,6.89,13.82,0.5,SECTOR_ROTATION,MODERATE,Price drops into the $54.00-$55.00 support zone (SMA50 & Lower BB) as the market fully digests the 15% drop in crude oil.,5.0,60.36,66.62,66.83,Take profits as price approaches $64.50 resistance or if oil prices face renewed fundamental downside pressure.,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""news"": {""total_count"": 30, ""total_length_chars"": 20854, ""providers"": {""Finnhub"": 10, ""Market News (Benzinga)"": 5, ""Alpha Vantage"": 13, ""Yahoo Finance"": 1, ""Benzinga/Massive"": 1}, ""time_range"": {""newest"": ""2026-04-08"", ""oldest"": ""2026-02-18""}}, ""fundamentals"": {""transcript_available"": true, ""transcript_date"": ""2026-02-25"", ""transcript_length"": 38790}, ""agents"": {""technical_length"": 4830, ""news_length"": 5021, ""market_sentiment_length"": 2944, ""economics_length"": 5512, ""competitive_length"": 4607, ""seeking_alpha_length"": 45164, ""bull_length"": 5941, ""bear_length"": 5541, ""risk_length"": 5839}, ""metadata"": {""analyzed_at"": ""2026-04-08T19:12:42.914185"", ""stock_ticker"": ""UNKNOWN""}}",0,,,,,,,,2026-04-09,NEUTRAL,-0.023864741036146785,0.01209810564839601,-0.07905204350639351,,0.058667568248512277,0.058667568248512277,-0.12562150610650977,False,,,,,,,,,
10,OVV,56.78,-6.504198913222453,BUY_LIMIT,Owned,2026-04-09 01:13:42,Ovintiv Inc. (DE),11.640493665176924,16087788418.457106,,America,0,,50.0,,,,,,v0.8.2-5-g9a7f04b,52.0,53.5,49.8,60.73,62.0,60.73,6.96,12.29,0.6,MACRO_SELLOFF,MODERATE,Price tests the $52.00-$53.50 support zone (confluence of SMA50 and Lower Bollinger Band) and RSI drops below 40 indicating oversold exhaustion.,5.0,60.0,62.0,65.0,Price approaches the $60-$62 resistance zone (pre-drop levels and Citi price target) and RSI crosses above 65.,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""news"": {""total_count"": 30, ""total_length_chars"": 34663, ""providers"": {""Market News (Benzinga)"": 5, ""Finnhub"": 4, ""Alpha Vantage"": 15, ""Benzinga/Massive"": 6}, ""time_range"": {""newest"": ""2026-04-08"", ""oldest"": ""2026-01-28""}}, ""fundamentals"": {""transcript_available"": true, ""transcript_date"": ""2026-02-24"", ""transcript_length"": 62513}, ""agents"": {""technical_length"": 4732, ""news_length"": 5124, ""market_sentiment_length"": 2614, ""economics_length"": 5138, ""competitive_length"": 5206, ""seeking_alpha_length"": 57538, ""bull_length"": 5976, ""bear_length"": 5506, ""risk_length"": 5857}, ""metadata"": {""analyzed_at"": ""2026-04-08T19:15:40.276034"", ""stock_ticker"": ""UNKNOWN""}}",0,,,,,,,,2026-04-09,ENTER_LIMIT,-0.018668523763594156,-0.0035223347824113005,0.0269461319706061,,0.11764704269941273,0.11764704269941273,-0.10126807362985428,True,14.0,-0.01947943401107642,,,True,52.75,0.05630334067683649,0.07260666978302725,0.10540286963584863
