filter,n,invested,net_eur,spy_net_eur,alpha_eur,roi,alpha_roi,win_rate
ALL cohort with return_1w,268,201000.0,2159.0002995486466,1924.9981689782326,234.002130570414,0.010741295022630083,0.001164189704330418,0.4925373134328358
PM BUY-only (no R/R or SA filter),59,44250.0,801.2776395278503,583.7501028747047,217.5275366531456,0.018107969254866674,0.004915876534534364,0.5254237288135594
PM BUY + R/R > 1.5,18,13500.0,437.50964492973964,203.49307058928315,234.0165743404565,0.03240812184664738,0.017334561062256035,0.5555555555555556
PM BUY + R/R > 2.0,11,8250.0,377.55548375889884,154.11531219788256,223.44017156101629,0.045764301061684706,0.027083657158911065,0.6363636363636364
PM BUY + WS rating ≥ 4.0,38,28500.0,921.1835167364087,424.29399745637204,496.88951928003667,0.03232222865741785,0.01743471997473813,0.6052631578947368
PM BUY + WS rating ≥ 4.5,10,7500.0,269.3439173548076,93.6392999301977,175.70461742460992,0.03591252231397435,0.023427282323281323,0.6
PM BUY + R/R > 1.5 + WS ≥ 4.0,11,8250.0,434.9908831514365,138.8201099615302,296.1707731899063,0.052726167654719575,0.035899487659382584,0.7272727272727273
PM BUY + R/R > 1.5 + WS ≥ 4.5,3,2250.0,110.27485211975713,43.46776778959613,66.80708433016099,0.049011045386558726,0.02969203748007155,0.6666666666666666
PM BUY + R/R > 2.0 + WS ≥ 4.0,7,5250.0,364.3175700103189,108.882674200042,255.43489581027688,0.06939382285910836,0.04865426586862417,0.8571428571428571
PM BUY + R/R > 1.5 + SA Analyst ≥ 4.0,8,6000.0,192.19144949652778,83.64663373770446,108.54481575882332,0.032031908249421294,0.018090802626470552,0.625
PM BUY + R/R > 1.5 + 6M perf > 0,5,3750.0,109.24870349828015,55.955168030703796,53.293535467576355,0.029132987599541374,0.014211609458020361,0.6
PM BUY + R/R > 1.5 + WS ≥ 4.0 + 6M > 0,4,3000.0,117.64181682506307,54.90623329909768,62.735583525965396,0.03921393894168769,0.0209118611753218,0.75
CONTRARIAN: PM BUY + SA Quant < 3.0,18,13500.0,204.4122633978383,179.56316791910945,24.849095478728856,0.015141649140580615,0.0018406737391651004,0.5555555555555556
CONSENSUS: PM BUY + SA Quant ≥ 4.5,4,3000.0,-42.082120060142636,23.803534793185925,-65.88565485332856,-0.01402737335338088,-0.02196188495110952,0.25
