filter,n,invested,net_eur,spy_net_eur,alpha_eur,roi,alpha_roi,win_rate
ALL cohort with return_1w,268,201000.0,2159.0002995486466,1924.9981689782326,234.002130570414,0.010741295022630083,0.001164189704330418,0.4925373134328358
DR BUY-only (no R/R or SA filter),24,18000.0,559.0882127000925,255.31545295423885,303.7727597458537,0.03106045626111625,0.016876264430325204,0.5416666666666666
DR BUY + R/R > 1.5,13,9750.0,176.33824820537808,140.14615598569662,36.192092219681456,0.018085974174910573,0.0037120094584288674,0.46153846153846156
DR BUY + R/R > 2.0,8,6000.0,180.13811454488138,99.40430649949741,80.73380804538397,0.030023019090813563,0.013455634674230662,0.625
DR BUY + WS rating ≥ 4.0,15,11250.0,660.3521679821255,171.81941669074888,488.5327512913766,0.05869797048730004,0.04342513344812236,0.7333333333333333
DR BUY + WS rating ≥ 4.5,4,3000.0,313.2648198586611,51.44890720108065,261.81591265758044,0.1044216066195537,0.08727197088586015,1.0
DR BUY + R/R > 1.5 + WS ≥ 4.0,7,5250.0,221.46998023598383,87.86886831630085,133.60111191968298,0.04218475814018739,0.025447830841844377,0.7142857142857143
DR BUY + R/R > 1.5 + WS ≥ 4.5,1,750.0,50.040027091488135,17.992146966981444,32.04788012450669,0.06672003612198418,0.04273050683267559,1.0
DR BUY + R/R > 2.0 + WS ≥ 4.0,5,3750.0,160.90017328646528,72.89838026607913,88.00179302038615,0.04290671287639074,0.023467144805436307,0.8
DR BUY + R/R > 1.5 + SA Analyst ≥ 4.0,7,5250.0,16.45378823925837,76.16315988207123,-59.709371642812854,0.0031340549027158797,-0.011373213646250067,0.42857142857142855
DR BUY + R/R > 1.5 + 6M perf > 0,5,3750.0,58.66493143246711,66.463841142052,-7.798909709584898,0.01564398171532456,-0.002079709255889306,0.4
DR BUY + R/R > 1.5 + WS ≥ 4.0 + 6M > 0,3,2250.0,89.50962812933571,47.422759443464436,42.08686868587127,0.03978205694637143,0.018705274971498344,0.6666666666666666
CONTRARIAN: DR BUY + SA Quant < 3.0,9,6750.0,134.05020683578056,96.81499293807673,37.23521389770383,0.01985928990159712,0.005516327984845012,0.5555555555555556
CONSENSUS: DR BUY + SA Quant ≥ 4.5,2,1500.0,-52.18562625174174,8.836587081919442,-61.02221333366118,-0.03479041750116116,-0.040681475555774116,0.0
