signal,horizon,n,pearson_r,pearson_p,spearman_rho,spearman_p
SA Rank (lower=better),1w,198,-0.1549579800879881,0.029270039152243632,-0.12688712226938137,0.07485325131648772
SA Rank (lower=better),2w,131,-0.20703132174719047,0.017661601163026185,-0.14568914209761058,0.09683836508014264
SA Rank (lower=better),4w,31,0.1304390528463798,0.4842982492524902,0.5086728519564341,0.003477387480196619
SA Quant numeric,1w,198,0.10593566567900675,0.1374400845421526,0.11052940909247674,0.1210952377810855
SA Quant numeric,2w,131,0.1492816355814312,0.0887965439870719,0.14729300106049792,0.09317971980252894
SA Quant numeric,4w,31,-0.2491715605098346,0.17645493149601585,-0.4843531642183586,0.0057605020834940015
SA Analyst Rating,1w,193,0.2033189491814461,0.004569231377140809,0.13688742110716334,0.05765751428658268
SA Analyst Rating,2w,129,0.1806235191717374,0.04052073918455971,0.18927116274869682,0.03169467465830112
SA Analyst Rating,4w,31,-0.0899036818179759,0.630539063863616,-0.3163799082609767,0.08291849244860905
Wall Street Rating,1w,198,0.24344055185954144,0.0005483310865689199,0.13978353457377674,0.04951515561634751
Wall Street Rating,2w,131,0.0986043709198759,0.2625027908918123,0.013623076455990034,0.8772659641728504
Wall Street Rating,4w,31,0.293001286415742,0.10967497571545866,0.3948325873230008,0.027936254870730894
Past 6M performance,1w,198,0.18903375852424642,0.00764884583212263,0.04157558199514901,0.5608578700292064
Past 6M performance,2w,131,0.27816633462255463,0.0012954669629099186,0.13425740571547717,0.1263018381460496
Past 6M performance,4w,31,0.5835778268932776,0.0005687587411270822,-0.20250100847115773,0.2746077675806823
