sym,decision_date,intent,recommendation,risk_reward_ratio,Rank,quant_score,sa_score,ws_score,perf_6m,return_1w,return_2w,return_4w
APA,2026-04-09,NEUTRAL,PENDING,2.0,896,3.47,4.25,3.14,0.4922,-0.02193544449344758,-0.0023225845829133065,-0.06477415023311492
APA,2026-04-09,NEUTRAL,WATCH,0.3,896,3.47,4.25,3.14,0.4922,-0.02193544449344758,-0.0023225845829133065,-0.06477415023311492
CHRD,2026-04-09,NEUTRAL,WATCH,0.3,957,3.45,5.0,4.52,0.5611,-0.0069665345500329375,0.016527115260574876,0.020899725783739664
EQNR,2026-04-09,AVOID,AVOID,0.3,884,3.48,3.5,2.66,0.5074,-0.026951424923374687,-0.01830662063687861,-0.06153064206935899
LYB,2026-04-09,AVOID,AVOID,0.8,103,4.92,3.8,3.11,0.6681,0.0144166116346988,-0.04715708406489995,-0.03651304047116047
MGY,2026-04-09,AVOID,AVOID,0.9,1106,3.4,4.0,4.05,0.2659,-0.04420626538756382,-0.008037480266798427,-0.057267259928657936
MTDR,2026-04-09,NEUTRAL,WATCH,0.5,279,4.78,4.0,4.42,0.4043,-0.023864741036146785,0.01209810564839601,-0.07905204350639351
OVV,2026-04-09,ENTER_LIMIT,BUY_LIMIT,0.6,960,3.45,2.0,4.29,0.4882,-0.018668523763594156,-0.0035223347824113005,0.0269461319706061
PBF,2026-04-09,AVOID,AVOID,0.5,105,4.91,3.0,2.61,0.103,-0.009295815288979008,-0.04787354820583026,-0.05670462113437393
SM,2026-04-09,NEUTRAL,WATCH,0.5,202,4.84,4.66,3.61,0.6105,-0.02533842680645415,0.016660913416429887,0.010065962564030818
ADSK,2026-04-09,ENTER_NOW,BUY,2.3,542,4.37,3.0,4.57,-0.1773,0.11235134337652965,0.06120766572524734,0.14839887139127547
AXON,2026-04-09,AVOID,AVOID,0.6,3045,2.74,3.4,4.4,-0.3302,0.09746764545401794,0.0962392569127439,0.19186423946292955
FROG,2026-04-09,AVOID,AVOID,0.4,1960,3.11,3.33,4.66,0.1758,0.03340438123394373,0.04169630942201194,0.3508647348439628
GWRE,2026-04-09,ENTER_LIMIT,BUY_LIMIT,1.55,1757,3.18,3.5,4.4,-0.365,0.1058468191132522,0.04336420366469254,0.10958306634647391
HUBS,2026-04-09,ENTER_NOW,BUY,0.0,2540,2.91,3.6,4.44,-0.5047,0.11181469286499492,0.07047943178383108,0.21522774909976375
INTU,2026-04-09,AVOID,AVOID,1.4,2682,2.86,4.08,4.52,-0.3892,0.08007584986903957,0.06944557292756542,0.13495716854802278
IOT,2026-04-09,ENTER_NOW,BUY,0.0,1571,3.24,3.75,4.43,-0.2341,0.11307284600926373,0.09992489431425645,0.13110445568563342
NET,2026-04-09,AVOID,AVOID,0.3,2132,3.05,3.33,4.05,-0.1576,0.05252495538213885,0.09315842798485575,0.36932761982041207
NOW,2026-04-09,ENTER_NOW,BUY,2.3,2868,2.8,3.93,4.56,-0.471,0.07472003612198418,-0.055218155911329184,0.04295978534452138
OKTA,2026-04-09,ENTER_LIMIT,BUY_LIMIT,1.2,1765,3.17,3.75,4.31,-0.0154,0.0462008155779525,0.10475084869282791,0.17506897070198998
RBRK,2026-04-09,ENTER_NOW,BUY,0.0,1759,3.18,4.15,4.82,-0.1464,0.13245391097152473,0.11261307705869122,0.34067375293724617
SNOW,2026-04-09,AVOID,AVOID,1.8,1821,3.16,3.66,4.56,-0.42,0.07170855986978103,0.092985881492287,0.1476352325260602
TEAM,2026-04-09,ENTER_NOW,BUY,2.8,1627,3.22,4.0,4.42,-0.4196,0.1748718522552751,0.15589748284755608,0.5789744059244791
TPL,2026-04-09,NEUTRAL,PENDING,,1480,3.27,3.5,3.0,0.2047,0.13856444510419383,0.17296685669847658,0.0659401205212862
AKAM,2026-04-10,AVOID,AVOID,,2305,2.99,3.0,3.8,0.7639,0.0496989533623256,0.04269293924466345,0.6169677801189623
BSY,2026-04-10,NEUTRAL,WATCH,0.9,3075,2.73,4.0,4.18,-0.2987,0.12076683166308903,0.06837056315364165,0.04664531378700327
DOCN,2026-04-10,NEUTRAL,PENDING,,917,3.47,3.8,4.21,2.3135,0.13282176549038185,0.25955813049970433,1.1689376497981503
DOCN,2026-04-10,ENTER_LIMIT,BUY_LIMIT,2.11,917,3.47,3.8,4.21,2.3135,0.13282176549038185,0.25955813049970433,1.1689376497981503
FICO,2026-04-10,ENTER_NOW,BUY,0.0,2151,3.04,3.2,4.14,-0.3529,0.1638713526364149,0.08928084250693864,0.22076823834253065
GH,2026-04-10,AVOID,AVOID,0.5,2957,2.77,4.0,4.61,-0.0105,0.14961832837597416,0.1311705300522822,0.21755721308196177
HQY,2026-04-10,ENTER_NOW,BUY,1.5,801,3.59,4.0,4.4,-0.0947,0.10364290553524051,0.057593598617780836,0.08825033783851503
NICE,2026-04-11,ENTER_NOW,BUY,3.07,3225,2.67,4.0,3.93,-0.2521,0.08793813174532861,0.04082473282961501,
NTNX,2026-04-11,AVOID,AVOID,,3016,2.75,3.66,3.94,-0.3393,0.17959895822690772,0.18453932930930564,
PANW,2026-04-11,ENTER_LIMIT,BUY_LIMIT,1.0,2512,2.92,3.54,4.37,-0.0208,0.08880753585432326,0.1744685924130507,
DTEGY,2026-04-13,AVOID,AVOID,0.3,123,4.9,3.0,4.33,0.0401,0.010633608935440101,-0.08696285061652183,
FAST,2026-04-13,NEUTRAL,WATCH,0.4,1899,3.13,3.0,3.17,0.0813,-0.003390541982040638,-0.009515503023146197,
GFL,2026-04-13,AVOID,AVOID,0.5,3943,1.93,5.0,4.15,-0.1448,-0.003034947674625358,0.003287763503928006,
PCG,2026-04-13,AVOID,AVOID,0.2,1150,3.39,3.5,4.38,-0.0267,-0.006584575925008491,-0.061551709725254075,
EIX,2026-04-13,AVOID,AVOID,0.7,1848,3.15,3.66,3.35,0.2088,-0.0187682214506509,-0.04671208543272331,
NXT,2026-04-14,NEUTRAL,PENDING,,747,3.75,3.0,4.25,0.2034,-0.03137603718728987,0.04473331165869428,
AKAM,2026-04-14,AVOID,AVOID,0.7,2305,2.99,3.0,3.8,0.7639,0.10400722457288028,0.07417830149905198,
APA,2026-04-14,ENTER_LIMIT,BUY_LIMIT,0.8,896,3.47,4.25,3.14,0.4922,0.015392883449124834,0.04374835338587375,
ASTS,2026-04-14,NEUTRAL,PENDING,,2551,2.91,3.46,3.4,0.0847,-0.09664669598926866,-0.18843855421228436,
ASTS,2026-04-14,AVOID,AVOID,0.1,2551,2.91,3.46,3.4,0.0847,-0.09664669598926866,-0.18843855421228436,
DOCN,2026-04-14,AVOID,AVOID,0.9,917,3.47,3.8,4.21,2.3135,0.28944859202821854,0.2849557148184883,
KMX,2026-04-14,AVOID,AVOID,0.2,2703,2.85,3.66,3.0,0.2466,-0.06289004043381308,-0.07249161330656648,
RIG,2026-04-14,NEUTRAL,WATCH,0.4,461,4.55,3.83,3.23,0.608,-0.019448915602129118,0.10048621748023134,
VAL,2026-04-14,NEUTRAL,WATCH,1.6,1602,3.23,3.66,2.66,0.7464,-0.018911024420536885,0.10824911662540071,
AGCO,2026-04-15,AVOID,AVOID,0.8,2408,2.95,3.0,3.33,0.1116,0.02643342040687129,-0.006640910584870975,
BAP,2026-04-15,AVOID,AVOID,0.2,493,4.51,3.0,4.21,0.2735,0.013269112123066891,-0.03644461341272449,
CNH,2026-04-15,AVOID,AVOID,0.1,2823,2.81,2.5,3.94,0.1346,-0.018744117429352516,-0.05529522739399674,
HESAY,2026-04-15,ENTER_LIMIT,BUY_LIMIT,0.9,4099,1.49,3.4,4.66,-0.1799,-0.0018060012990599786,-0.035448954201335196,
IFS,2026-04-15,AVOID,AVOID,0.2,474,4.53,4.0,4.66,0.0649,-0.022307192314347322,-0.05566176411855847,
CARR,2026-04-15,AVOID,AVOID,0.3,2601,2.89,3.0,4.0,0.1621,0.045509421235630204,0.06429928768258575,
SWK,2026-04-15,AVOID,AVOID,1.0,2506,2.92,3.25,3.55,0.1875,0.12156451512322665,0.12437957462994936,
TEX,2026-04-15,NEUTRAL,WATCH,0.8,3013,2.75,4.0,3.84,0.3826,0.03614460161702046,0.030035648446282936,
OSK,2026-04-15,AVOID,AVOID,0.4,2830,2.81,4.0,4.05,0.1359,0.05345349539635388,0.04614179823374384,
LYV,2026-04-15,AVOID,AVOID,0.3,2610,2.88,3.0,4.45,0.1621,-0.005082969483898389,-0.014734237017034408,
ABT,2026-04-16,AVOID,AVOID,0.6,2925,2.78,4.25,4.32,-0.3327,-0.020857561070051975,-0.03875065203253212,
IBRX,2026-04-16,AVOID,AVOID,0.4,985,3.44,3.0,4.75,2.9953,0.12345673256286704,-0.02606311321912643,
IESC,2026-04-16,AVOID,AVOID,0.7,309,4.76,3.0,3.0,0.6708,0.193634403580183,0.31155823305743213,
RYAAY,2026-04-16,AVOID,AVOID,0.3,3172,2.69,4.0,4.4,-0.09,-0.02242844258631551,-0.06075446376421923,
