rr_threshold,n_trades,total_invested_eur,strategy_net_eur,spy_net_eur,alpha_eur,roi,spy_roi,alpha_roi,win_rate_net
0.5,46,34500.0,410.94702796699664,460.1397441696777,-49.19271620268109,0.011911508057014396,0.013337383888976167,-0.0014258758319617708,0.5
0.75,43,32250.0,480.7150919924372,436.0810000773524,44.63409191508476,0.01490589432534689,0.013521891475266742,0.0013840028500801476,0.5348837209302325
1.0,30,22500.0,493.58300717242753,341.41408931707264,152.16891785535483,0.02193702254099678,0.015173959525203229,0.0067630630157935485,0.6
1.25,23,17250.0,491.03560604873013,261.59547968724894,229.44012636148116,0.028465832234708992,0.015164955344188344,0.013300876890520646,0.5652173913043478
1.5,18,13500.0,437.50964492973964,203.49307058928312,234.01657434045651,0.03240812184664738,0.015073560784391342,0.01733456106225604,0.5555555555555556
1.75,15,11250.0,354.0210244032014,170.5339759110352,183.48704849216622,0.03146853550250679,0.015158575636536463,0.016309959865970333,0.5333333333333333
2.0,11,8250.0,377.5554837588989,154.11531219788256,223.4401715610163,0.04576430106168471,0.018680643902773644,0.02708365715891107,0.6363636363636364
2.25,7,5250.0,301.08487359230475,93.30972783015056,207.77514576215418,0.05734949973186757,0.017773281491457252,0.03957621824041032,0.7142857142857143
2.5,3,2250.0,176.88803495687006,37.76779346300982,139.12024149386022,0.07861690442527558,0.016785685983559923,0.06183121844171565,0.6666666666666666
2.75,3,2250.0,176.88803495687006,37.76779346300982,139.12024149386022,0.07861690442527558,0.016785685983559923,0.06183121844171565,0.6666666666666666
3.0,2,1500.0,51.73414576541372,19.77564649602838,31.95849926938534,0.034489430510275816,0.013183764330685585,0.021305666179590226,0.5
3.25,1,750.0,-8.219453043582737,1.0489347316061215,-9.26838777518886,-0.010959270724776983,0.0013985796421414954,-0.01235785036691848,0.0
3.5,1,750.0,-8.219453043582737,1.0489347316061215,-9.26838777518886,-0.010959270724776983,0.0013985796421414954,-0.01235785036691848,0.0
3.75,1,750.0,-8.219453043582737,1.0489347316061215,-9.26838777518886,-0.010959270724776983,0.0013985796421414954,-0.01235785036691848,0.0
4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
