rr_threshold,n_trades,total_invested_eur,strategy_net_eur,spy_net_eur,alpha_eur,roi,spy_roi,alpha_roi,win_rate_net
0.5,134,100500.0,1317.92516487253,958.4033113455698,359.5218535269605,0.01311368323256249,0.009536351356672336,0.0035773318758901542,0.5373134328358209
0.75,101,75750.0,531.877805451908,745.2267105567244,-213.3489051048164,0.007021489180883274,0.00983797637698646,-0.0028164871961031865,0.5247524752475248
1.0,60,45000.0,222.88108078813295,491.5049182326384,-268.6238374445054,0.004952912906402955,0.010922331516280854,-0.005969418609877898,0.5333333333333333
1.25,47,35250.0,304.6123547675526,374.8288055098759,-70.2164507423233,0.008641485241632697,0.01063344129106031,-0.0019919560494276113,0.5319148936170213
1.5,35,26250.0,432.579576895937,296.6779310330339,135.90164586290314,0.016479221976988076,0.011302016420306052,0.005177205556682024,0.5428571428571428
1.75,27,20250.0,235.23390667014718,267.34551669732394,-32.111610027176695,0.011616489218278873,0.013202247738139454,-0.0015857585198605776,0.5185185185185185
2.0,15,11250.0,378.75083397777865,210.29692417275413,168.45390980502447,0.03366674079802477,0.018693059926467033,0.01497368087155773,0.6
2.25,10,7500.0,242.19742838180298,121.62622079473559,120.57120758706736,0.03229299045090706,0.01621682943929808,0.016076161011608983,0.6
2.5,6,4500.0,118.00058974636826,66.08428642759485,51.9163033187734,0.026222353276970724,0.014685396983909966,0.011536956293060755,0.5
2.75,6,4500.0,118.00058974636826,66.08428642759485,51.9163033187734,0.026222353276970724,0.014685396983909966,0.011536956293060755,0.5
3.0,3,2250.0,41.28251711117985,27.259120351661622,14.023396759518224,0.0183477853827466,0.012115164600738498,0.0062326207820081,0.3333333333333333
3.25,2,1500.0,-18.67108169781661,8.532408587239363,-27.203490285055974,-0.012447387798544407,0.005688272391492909,-0.018135660190037317,0.0
3.5,2,1500.0,-18.67108169781661,8.532408587239363,-27.203490285055974,-0.012447387798544407,0.005688272391492909,-0.018135660190037317,0.0
3.75,2,1500.0,-18.67108169781661,8.532408587239363,-27.203490285055974,-0.012447387798544407,0.005688272391492909,-0.018135660190037317,0.0
4.0,1,750.0,-10.451628654233872,7.4834738556332425,-17.935102509867114,-0.01393550487231183,0.009977965140844324,-0.023913470013156152,0.0
4.25,1,750.0,-10.451628654233872,7.4834738556332425,-17.935102509867114,-0.01393550487231183,0.009977965140844324,-0.023913470013156152,0.0
4.5,1,750.0,-10.451628654233872,7.4834738556332425,-17.935102509867114,-0.01393550487231183,0.009977965140844324,-0.023913470013156152,0.0
4.75,1,750.0,-10.451628654233872,7.4834738556332425,-17.935102509867114,-0.01393550487231183,0.009977965140844324,-0.023913470013156152,0.0
5.0,1,750.0,-10.451628654233872,7.4834738556332425,-17.935102509867114,-0.01393550487231183,0.009977965140844324,-0.023913470013156152,0.0
