id,symbol,decision_date,recommendation,intent,drop_percent,price_at_decision,sector,risk_reward_ratio,deep_research_rr_ratio,deep_research_verdict,deep_research_action,entry_price_low,entry_price_high,stop_loss,return_1w,return_2w,return_4w,max_roi_4w,max_drawdown_4w
245,CHKP,2026-04-30,AVOID,AVOID,-16.9405544441269,116.25,,5.4,,,,115.0,117.0,102.09,-0.005935504872311828,,,0.07243009177587366,-0.03458061628444221
186,LBRDP,2026-04-24,BUY,ENTER_NOW,-5.971746575342464,21.965,,4.0,4.0,BUY,BUY,21.96,22.15,21.2,-0.0029592707247769823,0.008877753125978126,,0.0657864715416394,-0.04165721661458926
40,NICE,2026-04-11,BUY,ENTER_NOW,-7.141489565383874,97.0,,3.07,3.07,BUY_LIMIT,BUY_LIMIT,95.0,97.5,91.8,0.08793813174532861,0.04082473282961501,,0.30412371134020616,-0.06494848506966817
121,NOC,2026-04-21,AVOID,AVOID,-5.801546470212184,618.865,,2.9,,,,618.0,625.0,610.0,-0.06632301499645522,-0.09737992036076125,,0.05515742528661338,-0.12058366487945676
285,FDX,2026-05-04,BUY_LIMIT,ENTER_LIMIT,-6.746767597226104,367.11,,2.9,2.9,AVOID,AVOID,290.0,295.0,275.0,,,,0.04412845620820391,-0.035329970176684135
30,TEAM,2026-04-09,BUY,ENTER_NOW,-8.047783715812635,58.5,,2.8,,,,57.3,59.0,54.8,0.1748718522552751,0.15589748284755608,0.5789744059244791,0.6464615520249065,-0.04256413125584268
53,TRUMF,2026-04-13,WATCH,NEUTRAL,-5.289287760168028,12.4,,2.8,,,,12.35,12.45,12.15,0.017741926254764652,0.017741926254764652,,0.08467740397299486,-3.076368765465898e-08
331,CRC,2026-05-06,BUY_LIMIT,ENTER_LIMIT,-9.603593326679015,63.395,,2.76,2.76,AVOID,AVOID,50.53,53.4,48.0,,,,0.08762515889647739,-0.07800298504709441
327,CE,2026-05-06,BUY_LIMIT,ENTER_LIMIT,-9.549340675264459,62.42,,2.6,2.6,BUY_LIMIT,BUY_LIMIT,60.64,61.5,59.4,,,,0.06920855276785533,-0.10285165011214357
347,FIS,2026-05-08,BUY,ENTER_NOW,-5.8412698412698365,44.49,,2.6,2.6,BUY_LIMIT,BUY_LIMIT,42.5,43.25,41.2,,,,,
297,MHK,2026-05-04,AVOID,AVOID,-5.468828179725811,94.465,,2.6,,,,93.1,93.6,83.96,,,,0.1350235666194159,-0.009156846725018892
323,ALC,2026-05-06,BUY,ENTER_NOW,-9.670920080591005,67.25,,2.4,2.4,BUY,BUY,66.5,67.5,64.25,,,,0.006096708730250929,-0.07211893641815753
350,HUBS,2026-05-08,BUY_LIMIT,ENTER_LIMIT,-23.33005087805678,186.86,,2.4,2.4,BUY_LIMIT,BUY_LIMIT,180.5,188.0,168.5,,,,,
233,REGN,2026-04-29,BUY,ENTER_NOW,-6.21848394987496,686.265,,2.35,2.35,BUY,BUY,682.0,688.0,668.0,0.05068739888085326,,,0.05813348071740693,-0.025376530078122135
126,IAG,2026-04-21,BUY,ENTER_NOW,-7.185305240410599,17.18,,2.33,2.33,BUY_LIMIT,BUY_LIMIT,14.5,15.5,13.5,-0.04016299353212082,-0.05064031048065291,,0.13096625757717006,-0.06693826038151873
313,POOL,2026-05-05,BUY_LIMIT,ENTER_LIMIT,-6.062097131329033,190.91,,2.3,2.3,AVOID,AVOID,165.73,170.0,155.0,,,,0.03876170739402731,-0.033576030590330506
15,ADSK,2026-04-09,BUY,ENTER_NOW,-9.16268439642635,218.6,,2.3,2.3,AVOID,AVOID,200.0,208.5,195.0,0.11235134337652965,0.06120766572524734,0.14839887139127547,0.16715461751897734,-0.020585516452353018
25,NOW,2026-04-09,BUY,ENTER_NOW,-7.935775110290345,89.735,,2.3,2.3,BUY_LIMIT,BUY_LIMIT,88.0,92.0,81.5,0.07472003612198418,-0.055218155911329184,0.04295978534452138,0.1645400345461637,-0.09466765627938338
258,WTW,2026-04-30,BUY,ENTER_NOW,-14.173934025024993,248.99,,2.24,2.24,BUY_LIMIT,BUY_LIMIT,248.0,252.0,234.5,0.03646735742085522,,,0.07474198202142904,-0.009558614360610652
34,CEBCF,2026-04-10,AVOID,AVOID,-14.36363636363636,0.3768,,2.2,,,,0.37,0.377,0.355,0.08811039390584206,0.167728231464475,0.08811039390584206,0.167728231464475,1.7716878919352265e-09
342,CHYM,2026-05-07,BUY,ENTER_NOW,-7.040957202024856,20.2,,2.2,,,,19.76,20.25,17.25,,,,0.06188122588809178,-0.09900986322081912
43,PPERF,2026-04-11,BUY,ENTER_NOW,-23.167848699763585,0.26,,2.2,,AVOID,AVOID,0.255,0.265,0.245,-3.667978143440109e-08,-3.667978143440109e-08,,-3.667978143440109e-08,-3.667978143440109e-08
214,ZBH,2026-04-28,BUY,ENTER_NOW,-7.06339777513771,86.05,,2.16,2.16,BUY_LIMIT,BUY_LIMIT,84.5,85.5,82.5,-0.03532827267599684,,,0.030098772686210813,-0.07228353479308902
36,DOCN,2026-04-10,BUY_LIMIT,ENTER_LIMIT,-13.284386830331535,75.59,,2.11,2.11,BUY_LIMIT,BUY_LIMIT,69.6,71.71,62.7,0.13282176549038185,0.25955813049970433,1.1689376497981503,1.1797857424588032,-0.045244104128253616
355,TOST,2026-05-08,BUY,ENTER_NOW,-14.635806671204904,25.08,,2.11,2.11,BUY_LIMIT,BUY_LIMIT,23.8,24.4,22.65,,,,,
